name,address,district,rating,reviews,lat,lon
"Художественный, кинотеатр","Арбатская площадь, 14 ст1",Другое,4.8,232.0,55.752446,37.602121
"Круглый шар, бильярдный зал","переулок Столешников, 7 ст5",Другое,3.9,11.0,55.763726,37.614201
"Billie, бильярдный клуб","Неглинная улица, 29",Другое,4.7,11.0,55.766342,37.620717
"Escapist, бар","Большой Трёхсвятительский переулок, 2/1 ст1",Другое,4.4,68.0,55.754817,37.645414
"8 шаров, бильярдный клуб","Большой Трёхсвятительский переулок, 2/1 ст8",Другое,4.4,15.0,55.754715,37.643082
"Би Ба Бо, развлекательный комплекс","Карманицкий переулок, 9",Другое,4.7,2.0,55.748214,37.583457
"Маддиттони, ресторан","Новокузнецкая улица, 24 ст2",Другое,4.4,4.0,55.735511,37.632167
"Высотка, развлекательный центр","Кудринская площадь, 1 ст1",Другое,3.0,37.0,55.759382,37.580228
"Дорожка, клуб любителей боулинга","3-я улица Ямского Поля, 2 к5",Другое,4.8,115.0,55.78392,37.582072
"Double Kiss, бильярдный клуб","Лесная улица, 20 ст3",Другое,5.0,14.0,55.780524,37.593102
"Трикстер, бильярдный клуб","Старая Басманная улица, 9 к1",Другое,4.1,6.0,55.764809,37.657821
Бильярдный клуб №1,"Киевская улица, 2",Другое,4.9,76.0,55.743522,37.563358
"Double Kiss, бильярдный клуб","Новорязанская улица, 23 ст1",Другое,4.8,14.0,55.772863,37.66362
77 Бильярд на Менделеевской,"Новослободская улица, 14/19 ст1",Другое,4.9,9.0,55.781201,37.600178
Бильярдная на Пресне,"Шмитовский проезд, 16 ст2",Другое,4.8,35.0,55.757897,37.547867
"Сова, бильярдный клуб","Марксистская улица, 34 к8",Другое,4.8,70.0,55.735176,37.665352
"Snp.bilyard, школа бильярда","Грузинский переулок, 6",Другое,,,55.772041,37.58168
"Ту-15, развлекательный комплекс","набережная Академика Туполева, 15",Другое,4.1,36.0,55.76085,37.682001
"Клуб 29, сауна","Малая Грузинская улица, 29",Другое,4.5,23.0,55.768795,37.572103
"Космик, кинотеатр","Шереметьевская улица, 20",Другое,4.2,42.0,55.803966,37.618573
"Москва, дом русского бильярда","Вятская улица, 41а",Другое,4.8,37.0,55.80049,37.581615
"Империя, спортбар и бильярдный клуб","Ленинградский проспект, 31а ст1",Другое,4.5,23.0,55.78398,37.559498
Центральный бильярдный клуб,"Олимпийский проспект, 16 ст5",Другое,,,55.784018,37.623695
"Царство Пара, Банный комплекс","улица Крутицкий Вал, 8/22",Другое,4.8,169.0,55.73043,37.664542
"811, ресторан-бильярдная в британском стиле","5-й Донской проезд, 23",Другое,4.7,36.0,55.701744,37.604054
"Космик, развлекательные центры","Пресненская набережная, 2",Другое,4.4,687.0,55.748716,37.537386
"Paranoid, бар","Ольховская улица, 14 ст2",Другое,,,55.774521,37.670752
"Бтк, бильярд-бар","проспект Мира, 102 к1",Другое,5.0,7.0,55.800665,37.636689
"Русская охота, сауна","Гарднеровский переулок, 3 ст4",Другое,5.0,76.0,55.766493,37.678288
"Кутузовский, бильярдный клуб","Кутузовский проспект, 36 ст4",Другое,4.7,33.0,55.740548,37.527657
"13.1, бильярдный клуб","Волочаевская улица, 12а ст1а",Другое,,,55.755538,37.68124
"Ballers Street, развлекательный центр","Автозаводская улица, 18",Другое,4.4,142.0,55.704845,37.643206
Так сказать,"Сибирский проезд, 2 к27",Другое,5.0,3.0,55.729822,37.682539
"Банный клуб на Бауманке, банный клуб","Бауманская улица, 22",Другое,4.4,9.0,55.77475,37.677681
"Аутпаб, паб-бильярдная","Верхняя Красносельская улица, 8 к3",Другое,4.5,11.0,55.784848,37.659986
"Бамберо, бар-ресторан и бильярдная","проспект Мира, 91 к3",Другое,4.1,33.0,55.80731,37.635958
"Полигон Холл, бильярдный клуб","Олимпийский проспект, 16 ст5",Другое,4.2,23.0,55.783785,37.62397
"Semenov, развлекательный комплекс","Ткацкая улица, 5 ст7",Другое,3.9,55.0,55.786365,37.721777
"15-й шар, бильярдный клуб-кафе","улица Стромынка, 25 ст1",Другое,5.0,2.0,55.795629,37.700005
"12 футов под кием, караоке-бар","Складочная улица, 1 ст13",Другое,4.7,35.0,55.803523,37.592484
"Джентльмены Удачи, бильярдный клуб","Тимирязевская улица, 2/3",Другое,4.2,17.0,55.80783,37.572859
Банный Дом,"Большая Марьинская улица, 1а",Другое,4.0,3.0,55.801857,37.632614
"Биллинс, бильярдный клуб","улица Архитектора Щусева, 2 к2",Другое,5.0,34.0,55.698898,37.633898
"777, бильярдный клуб","Шарикоподшипниковская улица, 11",Другое,5.0,1.0,55.718748,37.676682
Бильярдный клуб,"улица Сущёвский Вал, 5 ст21",Другое,,,55.79331,37.592618
"Олимп, бильярдный клуб","Петровско-Разумовский проезд, 27а ст2",Другое,,,55.8032,37.561715
"МАБ, бильярдный клуб","Ленинградский проспект, 80 к17",Другое,4.5,8.0,55.808484,37.510626
Бильярдный клуб,"Складочная улица, 1д ст4",Другое,,,55.796863,37.592389
"Kg, бильярдный зал","Волгоградский проспект, 32 ст8",Другое,1.4,1.0,55.723733,37.688951
"Шереметьевский, фитнес-центр","улица Вучетича, 32 ст2",Другое,5.0,2.0,55.815377,37.555963
"Игрок, бильярдный зал","Дмитровское шоссе, 37 к1",Другое,,,55.830966,37.571867
"SunClub, бильярдный клуб","Часовая улица, 11/3",Другое,5.0,1.0,55.807363,37.529562
"Gladiator, бильярдный клуб","улица Фонвизина, 17",Другое,3.9,22.0,55.821022,37.586773
"Квартира №9, бильярдный клуб","Ботаническая улица, 14а",Другое,4.9,57.0,55.846479,37.586941
"Библиотека, бильярдный клуб","Гостиничная улица, 9а к3",Другое,5.0,3.0,55.845779,37.577482
"Манас, бильярдный клуб","Кронштадтский бульвар, 47",Другое,2.5,1.0,55.8519,37.512125
"Bil House, бильярдный клуб","Флотская улица, 7 ст1",Другое,3.6,14.0,55.8537,37.496896
"Легенда на Флотской, бильярдный клуб","Флотская улица, 5в",Другое,4.8,5.0,55.851712,37.491817
"Загородный, банный комплекс на дровах","Авиационная улица, 17",Другое,4.9,15.0,55.809895,37.476812
"Земля и Небо, ресторан","Санникова улица, 17 ст2",Другое,3.7,11.0,55.862746,37.598779
"Пив&ко, пивной ресторан","улица Народного Ополчения, 28 к1",Другое,3.5,36.0,55.780506,37.480627
Усадьба Банная,"Вишнёвая улица, 13",Другое,4.3,40.0,55.834887,37.44741
"Свояк, бильярдный клуб","Алтуфьевское шоссе, 22Б",Другое,4.5,3.0,55.861184,37.585269
"Шаровня, бильярд-клуб","Инженерная улица, 3",Другое,4.5,80.0,55.879383,37.580671
Московская академия снукера,"Ракетный бульвар, 16",Другое,5.0,3.0,55.817379,37.655449
"Шар, бильярдная","улица Римского-Корсакова, 11 к5",Другое,4.9,20.0,55.874655,37.602858
"Космик, развлекательные центры","Лобненская улица, 4а",Другое,4.3,687.0,55.889999,37.538001
"Легенда, бильярдный клуб","Пятницкое шоссе, 3",Другое,4.5,14.0,55.836006,37.386163
"Шарон Премиум, развлекательный комплекс","Алтуфьевское шоссе, 70 к1",Другое,3.4,61.0,55.888314,37.588547
"Royal new, бильярдный клуб","улица Мнёвники, 7 к2",Другое,3.8,3.0,55.771321,37.494037
Бильярдный клуб,"Краснобогатырская улица, 2 ст3",Другое,,,55.81628,37.690311
"Фора, бильярдный клуб","улица Павла Корчагина, 2",Другое,2.7,5.0,55.810484,37.656707
Легенда,"Колодезный переулок, 3",Другое,,,55.798118,37.697844
"33 шара, бильярдный клуб","Окружной проезд, вл2а ст1",Другое,3.6,2.0,55.803658,37.744493
"Планета боулинга, развлекательный центр","Измайловское шоссе, 71 к4г-д",Другое,4.8,688.0,55.792228,37.74928
"7, бильярдный клуб","улица Лётчика Бабушкина, 30 ст1",Другое,4.3,3.0,55.870342,37.676284
"Амазония, ресторан","Измайловское шоссе, 71 к4г-д",Другое,2.8,42.0,55.791466,37.749002
"Imperia, бильярдный клуб","Ткацкая улица, 4",Другое,5.0,2.0,55.785172,37.72098
"Клуб 71, бильярдный клуб","улица Николая Химушина, 5 ст3",Другое,3.3,2.0,55.820349,37.758611
"Лидер, бильярдный клуб","Ясный проезд, 10",Другое,,,55.873801,37.629467
"Фортуна, бильярдный клуб","Юрловский проезд, 13",Другое,5.0,1.0,55.867744,37.622616
"Фрунзе, чайхана","Широкая улица, 21",Другое,4.3,10.0,55.887897,37.673031
"Массе, бильярдный зал","Тайнинская улица, 19",Другое,3.0,4.0,55.886012,37.684499
