place_name,district,address,search_query,yandex_name,yandex_address,yandex_categories,yandex_maps_url,status,error
"Художественный, кинотеатр",ЦАО,"Арбатская площадь, 14 ст1","Художественный, кинотеатр Арбатская площадь, 14 ст1 Москва",Художественный,"Москва, Арбатская площадь, 14, стр. 1",Кинотеатр,https://yandex.com/maps/org/khudozhestvenny/1061493289/,found,
"Круглый шар, бильярдный зал",ЦАО,"переулок Столешников, 7 ст5","Круглый шар, бильярдный зал переулок Столешников, 7 ст5 Москва",Круглый шар,"Москва, Столешников пер., 7, стр. 5","Бильярдный клуб, бар",https://yandex.com/maps/org/krugly_shar/40896020014/,found,
"Billie, бильярдный клуб",ЦАО,"Неглинная улица, 29","Billie, бильярдный клуб Неглинная улица, 29 Москва",Billie,"Москва, Неглинная ул., 29, стр. 1","Бильярдный клуб, ресторан, бар",https://yandex.com/maps/org/billie/217701042835/,found,
"Escapist, бар",ЦАО,"Большой Трёхсвятительский переулок, 2/1 ст1","Escapist, бар Большой Трёхсвятительский переулок, 2/1 ст1 Москва",Escapist,"Москва, Большой Трёхсвятительский пер., 2/1с1",Бар,https://yandex.com/maps/org/escapist/194520248099/,found,
"8 шаров, бильярдный клуб",ЦАО,"Большой Трёхсвятительский переулок, 2/1 ст8","8 шаров, бильярдный клуб Большой Трёхсвятительский переулок, 2/1 ст8 Москва",8 Шаров,"Москва, Большой Трёхсвятительский пер., 2/1с8","Бильярдный клуб, бар",https://yandex.com/maps/org/8_balls/210903462836/,found,
"Би Ба Бо, развлекательный комплекс",ЦАО,"Карманицкий переулок, 9","Би Ба Бо, развлекательный комплекс Карманицкий переулок, 9 Москва",БиБаБо,"Москва, Карманицкий пер., 9","Боулинг, ресторан, бильярдный клуб",https://yandex.com/maps/org/bibabo/1125320721/,found,
"Маддиттони, ресторан",ЦАО,"Новокузнецкая улица, 24 ст2","Маддиттони, ресторан Новокузнецкая улица, 24 ст2 Москва",Маддиттони,"Москва, Новокузнецкая ул., 24, стр. 2","Ресторан, бар, бильярдный клуб",https://yandex.com/maps/org/maddittoni/103162507645/,found,
"Высотка, развлекательный центр",ЦАО,"Кудринская площадь, 1 ст1","Высотка, развлекательный центр Кудринская площадь, 1 ст1 Москва",Высотка,"Москва, Кудринская площадь, 1, стр. 1","Боулинг, караоке-клуб, бильярдный клуб",https://yandex.com/maps/org/vysotka/153518195404/,found,
"Дорожка, клуб любителей боулинга",ЦАО,"3-я улица Ямского Поля, 2 к5","Дорожка, клуб любителей боулинга 3-я улица Ямского Поля, 2 к5 Москва",Дорожка,"Москва, 3-я ул. Ямского Поля, 2, корп. 5А","Боулинг, бильярдный клуб",https://yandex.com/maps/org/dorozhka/31539182764/,found,
"Double Kiss, бильярдный клуб",ЦАО,"Лесная улица, 20 ст3","Double Kiss, бильярдный клуб Лесная улица, 20 ст3 Москва",Double Kiss,"Москва, Лесная ул., 20, стр. 3",Бильярдный клуб,https://yandex.com/maps/org/double_kiss/150184536428/,found,
"Трикстер, бильярдный клуб",ЦАО,"Старая Басманная улица, 9 к1","Трикстер, бильярдный клуб Старая Басманная улица, 9 к1 Москва",Трикстер,"Москва, Старая Басманная ул., 9, корп. 1","Бильярдный клуб, банкетный зал, ресторан",https://yandex.com/maps/org/trikster/226810397670/,found,
Бильярдный клуб №1,ЗАО,"Киевская улица, 2","Бильярдный клуб №1 Киевская улица, 2 Москва",Бильярдный клуб № 1,"Москва, Киевская ул., 2","Бильярдный клуб, караоке-клуб, ресторан",https://yandex.com/maps/org/bilyardnyy_klub_1/77420212090/,found,
"Double Kiss, бильярдный клуб",ЦАО,"Новорязанская улица, 23 ст1","Double Kiss, бильярдный клуб Новорязанская улица, 23 ст1 Москва",Double Kiss,"Москва, Новорязанская ул., 23, стр. 1",Бильярдный клуб,https://yandex.com/maps/org/double_kiss/213331109701/,found,
77 Бильярд на Менделеевской,ЦАО,"Новослободская улица, 14/19 ст1","77 Бильярд на Менделеевской Новослободская улица, 14/19 ст1 Москва",Бильярд,"Москва, Новослободская ул., 14/19с1",Бильярдный клуб,https://yandex.com/maps/org/billiard/133068663404/,found,
Бильярдная на Пресне,ЦАО,"Шмитовский проезд, 16 ст2","Бильярдная на Пресне Шмитовский проезд, 16 ст2 Москва",Бильярдная на Пресне,"Москва, Шмитовский пр., 16, стр. 2","Бильярдный клуб, спортбар, ресторан",https://yandex.com/maps/org/billiardnaya_na_presnya/45232640012/?yclid=11573807810980347903,found,
"Сова, бильярдный клуб",ЦАО,"Марксистская улица, 34 к8","Сова, бильярдный клуб Марксистская улица, 34 к8 Москва",Sova,"Москва, Марксистская ул., 34, корп. 8","Бильярдный клуб, магазин бильярда, ресторан, кафе, бар",https://yandex.com/maps/org/sova/228276431826/,found,
"Snp.bilyard, школа бильярда",ЦАО,"Грузинский переулок, 6","Snp.bilyard, школа бильярда Грузинский переулок, 6 Москва",Все для бильярда,,"Магазин бильярда, бильярдный клуб",https://yandex.com/maps/org/billiard_shop/192315982642/,found,
"Ту-15, развлекательный комплекс",ЦАО,"набережная Академика Туполева, 15","Ту-15, развлекательный комплекс набережная Академика Туполева, 15 Москва",Ту-15,"Москва, наб. Академика Туполева, 15","Боулинг, развлекательный центр, бильярдный клуб",https://yandex.com/maps/org/tu_15/1227095991/,found,
"Клуб 29, сауна",ЦАО,"Малая Грузинская улица, 29","Клуб 29, сауна Малая Грузинская улица, 29 Москва",Клуб 29,"Москва, Малая Грузинская ул., 29","Сауна, баня, бассейн",https://yandex.com/maps/org/klub_29/1374088197/,found,
"Космик, кинотеатр",СВАО,"Шереметьевская улица, 20","Космик, кинотеатр Шереметьевская улица, 20 Москва",Космик,"Москва, Шереметьевская ул., 20","Кинотеатр, бильярдный клуб",https://yandex.com/maps/org/cosmik/95894593489/,found,
"Москва, дом русского бильярда",САО,"Вятская улица, 41а","Москва, дом русского бильярда Вятская улица, 41а Москва",Дом русского бильярда,"Москва, Вятская ул., 41А",Бильярдный клуб,https://yandex.com/maps/org/dom_russkogo_bilyarda/89680221983/,found,
"Империя, спортбар и бильярдный клуб",ЦАО,"Ленинградский проспект, 31а ст1","Империя, спортбар и бильярдный клуб Ленинградский проспект, 31а ст1 Москва",Империя,"Москва, Ленинградский просп., 31А, стр. 1","Бильярдный клуб, спортбар, ресторан",https://yandex.com/maps/org/sport_bar_imperia/134722758868/,found,
"Царство Пара, Банный комплекс",ЮВАО,"улица Крутицкий Вал, 8/22","Царство Пара, Банный комплекс улица Крутицкий Вал, 8/22 Москва",Царство Пара,"Москва, ул. Крутицкий Вал, 8/22","Сауна, баня, бассейн",https://yandex.com/maps/org/tsarstvo_para/150734065054/,found,
"811, ресторан-бильярдная в британском стиле",ЮАО,"5-й Донской проезд, 23","811, ресторан-бильярдная в британском стиле 5-й Донской проезд, 23 Москва",Клуб 811,"Москва, 5-й Донской пр., 23","Бильярдный клуб, ресторан, бар",https://yandex.com/maps/org/billiard_club_811/222182407396/,found,
"Космик, развлекательные центры",ЦАО,"Пресненская набережная, 2","Космик, развлекательные центры Пресненская набережная, 2 Москва",Космик,"Москва, Пресненская наб., 2","Боулинг, бильярдный клуб, игровой клуб",https://yandex.com/maps/org/amusement_park_kosmik/1512244889/,found,
"Paranoid, бар",ЦАО,"Ольховская улица, 14 ст2","Paranoid, бар Ольховская улица, 14 ст2 Москва",Paranoid,"Москва, Ольховская ул., 14, стр. 9","Бильярдный клуб, кофейня, бар",https://yandex.com/maps/org/paranoid/160304223382/,found,
"Бтк, бильярд-бар",СВАО,"проспект Мира, 102 к1","Бтк, бильярд-бар проспект Мира, 102 к1 Москва",БТК,"Москва, просп. Мира, 102, корп. 1","Бар, быстрое питание, бильярдный клуб",https://yandex.com/maps/org/btk/231739147514/,found,
"Русская охота, сауна",ЦАО,"Гарднеровский переулок, 3 ст4","Русская охота, сауна Гарднеровский переулок, 3 ст4 Москва",Русская охота,"Москва, Гарднеровский пер., 3, стр. 4","Сауна, баня, бассейн",https://yandex.com/maps/org/russkaya_ohota/1770328735/,found,
"Кутузовский, бильярдный клуб",ЗАО,"Кутузовский проспект, 36 ст4","Кутузовский, бильярдный клуб Кутузовский проспект, 36 ст4 Москва",Кутузовский бильярдный клуб,"Москва, Кутузовский просп., 36, стр. 4","Бильярдный клуб, столовая, бар",https://yandex.com/maps/org/bilyardny_klub_kutuzovsky/1335997578/,found,
"13.1, бильярдный клуб",ЮВАО,"Волочаевская улица, 12а ст1а","13.1, бильярдный клуб Волочаевская улица, 12а ст1а Москва",Бильярдный клуб 13.1,"Москва, Волочаевская ул., 12А, стр. 1А",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_klub_13_1/131361611408/,found,
"Ballers Street, развлекательный центр",ЮАО,"Автозаводская улица, 18","Ballers Street, развлекательный центр Автозаводская улица, 18 Москва",Ballers Street,"Москва, Автозаводская ул., 18","Боулинг, ресторан, бильярдный клуб, игровой клуб",https://yandex.com/maps/org/ballers_street/52855984032/,found,
Так сказать,ЦАО,"Сибирский проезд, 2 к27","Так сказать Сибирский проезд, 2 к27 Москва",,,,,not_found,Не открылась карточка и не появились результаты поиска
"Банный клуб на Бауманке, банный клуб",ЦАО,"Бауманская улица, 22","Банный клуб на Бауманке, банный клуб Бауманская улица, 22 Москва",Банный клуб на Бауманке,"Москва, Бауманская ул., 22","Сауна, баня, бассейн",https://yandex.com/maps/org/bannyj_klub_na_baumanke/170627535901/,found,
"Аутпаб, паб-бильярдная",ЦАО,"Верхняя Красносельская улица, 8 к3","Аутпаб, паб-бильярдная Верхняя Красносельская улица, 8 к3 Москва",Аут,"Москва, Верхняя Красносельская ул., 8, корп. 3","Паб, бар, бильярдный клуб",https://yandex.com/maps/org/out_pub/194762932067/,found,
"Бамберо, бар-ресторан и бильярдная",СВАО,"проспект Мира, 91 к3","Бамберо, бар-ресторан и бильярдная проспект Мира, 91 к3 Москва",Бамберо,"Москва, просп. Мира, 91, корп. 3","Бильярдный клуб, спортбар, бар",https://yandex.com/maps/org/bambero/1073948574/,found,
