product_name,category,category_ru,segment,price,store,product_url,source_url,parsed_at
Биток 44.5 мм Team 5,balls,Шары,budget,550,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/192348/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
Биток 47.6 мм Team 6,balls,Шары,budget,550,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/192347/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Aramith Premier Snooker 52,4 мм, желтый",balls,Шары,budget,1480,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/shary_dlya_snukera/200839/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Aramith Premier Snooker 52,4 мм, коричневый",balls,Шары,budget,1480,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/shary_dlya_snukera/200840/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар для снукера Aramith Premier Snooker, красный",balls,Шары,budget,1480,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/shary_dlya_snukera/196993/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный биток Classic (белый, 57,2 мм)",balls,Шары,budget,1640,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/20659/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный биток Classic (желтый, 60,3 мм)",balls,Шары,budget,1720,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/20639/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный биток Classic (красный, 60,3 мм)",balls,Шары,budget,1720,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/27459/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный биток Pool Standard (белый, 57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/bitki/27465/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №1 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163210/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №10 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163218/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №11 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163219/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №12 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163220/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №13 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163221/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №14 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163222/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №15 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163223/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №2 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163211/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №3 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163212/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
"Бильярдный шар Pool Standard №4 (57,2 мм)",balls,Шары,budget,1760,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/bilyardnye_shary/odinochnye_shary/163213/,https://www.billiard1.ru/catalog/bilyardnye_shary/,2026-05-26 13:06:16
