vacancy_id,vacancy_name,position_group,search_query,employer,city,salary_from,salary_to,salary_avg,currency,salary_gross,experience,employment_type,schedule,requirements,responsibilities,published_at,created_at,alternate_url,source,collected_at
be46b970-f791-11f0-ba7d-9959eb3311ba,Администратор магазина,администратор,администратор,"ООО ""ПЕТ РИТЕЙЛ""",Город Москва,50000,55000,52500.0,RUR,,,Полная занятость,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","- Организация работы магазина, помощь управляющему, постановка задач сотрудникам и контроль их исполнения; - Открытие/закрытие смены, контроль кассовых операций, ведение кассовой документации, инкассация; - Урегулирование вопросов по возврату либо обмену товаров (при необходимости); - Выполнение плановых показателей; - Обеспечение качественного обслуживания покупателей; - Выкладка товара и поддержание порядка в торговом зале.",2026-01-22,2026-01-22,https://trudvsem.ru/vacancy/card/1107746270653/be46b970-f791-11f0-ba7d-9959eb3311ba,Работа России,2026-05-26 12:12:42
6dcb8b68-f791-11f0-a027-0dd543315e5a,Администратор магазина,администратор,администратор,"ООО ""ПЕТ РИТЕЙЛ""",Город Москва,50000,55000,52500.0,RUR,,,Полная занятость,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","- Организация работы магазина, помощь управляющему, постановка задач сотрудникам и контроль их исполнения; - Открытие/закрытие смены, контроль кассовых операций, ведение кассовой документации, инкассация; - Урегулирование вопросов по возврату либо обмену товаров (при необходимости); - Выполнение плановых показателей; - Обеспечение качественного обслуживания покупателей; - Выкладка товара и поддержание порядка в торговом зале.",2026-01-22,2026-01-22,https://trudvsem.ru/vacancy/card/1107746270653/6dcb8b68-f791-11f0-a027-0dd543315e5a,Работа России,2026-05-26 12:12:42
0d549be8-f792-11f0-ba7d-9959eb3311ba,Администратор магазина,администратор,администратор,"ООО ""ПЕТ РИТЕЙЛ""",Город Москва,50000,55000,52500.0,RUR,,,Полная занятость,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","- Организация работы магазина, помощь управляющему, постановка задач сотрудникам и контроль их исполнения; - Открытие/закрытие смены, контроль кассовых операций, ведение кассовой документации, инкассация; - Урегулирование вопросов по возврату либо обмену товаров (при необходимости); - Выполнение плановых показателей; - Обеспечение качественного обслуживания покупателей; - Выкладка товара и поддержание порядка в торговом зале.",2026-01-22,2026-01-22,https://trudvsem.ru/vacancy/card/1107746270653/0d549be8-f792-11f0-ba7d-9959eb3311ba,Работа России,2026-05-26 12:12:42
2d6cf370-e0b6-11f0-8a3f-43eae7fdfc59,Администратор магазина,администратор,администратор,"ООО ""ПЕТ РИТЕЙЛ""",Город Москва,50000,55000,52500.0,RUR,,,Полная занятость,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","- Организация работы магазина, помощь управляющему, постановка задач сотрудникам и контроль их исполнения; - Открытие/закрытие смены, контроль кассовых операций, ведение кассовой документации, инкассация; - Урегулирование вопросов по возврату либо обмену товаров (при необходимости); - Выполнение плановых показателей; - Обеспечение качественного обслуживания покупателей; - Выкладка товара и поддержание порядка в торговом зале.",2025-12-24,2025-12-24,https://trudvsem.ru/vacancy/card/1107746270653/2d6cf370-e0b6-11f0-8a3f-43eae7fdfc59,Работа России,2026-05-26 12:12:42
8a329cb0-42b2-11f0-840e-25abf1fceba2,Администратор,администратор,администратор,Азбука вкуса,Город Москва,94000,94000,94000.0,RUR,,,,Сменная работа,"{'education': 'Не указано', 'experience': 1}","Приведи друга — получи 25 000! Успех вдвойне! Подбираем место работы ближе к дому! Почему мы: доход от 94 000 руб. + премии; график 3/3 (день или ночь на выбор) или 5/2; можно брать дополнительные смены; официальное трудоустройство по ТК РФ; бонус от 25 000 рублей за рекомендации знакомым и друзьям; скидку 30% на собственную линейку продуктов; мед. книжка за счёт компании; корпоративное питание; возможность быстрого карьерного роста. Чем вы будете заниматься: контролировать работу в торговом зале; разрешать конфликтные ситуации с покупателями; участвовать в проведении инвентаризаций; взаимодействовать с проверяющими органами; вести отчётность. Наш будущий коллега: работал администратором / зам. директора / директором в сетевых компаниях не менее года. Уважаемые соискатели, благодарим за интерес к «Азбуке вкуса». В случае принятия положительного решения по вашей кандидатуре вернёмся с обратной связью в течение одного рабочего дня. Мы приветствуем опыт работы в продуктовых магазинах таких как: Перекресток, Пятерочка, Магнит, Спар, Да, Ярче, Лента, Дикси, Верный, Улыбка радуги, Магнолия, Красное белое, Ашан, Метро, Мираторг, Окей, Глобус, Карусель, ВкусВилл, на вакансиях: администратор, управляющий, заместитель директора, старший продавец, старший кассир, товаровед, заведующий складом, менеджер склада и другие.",2025-06-06,2025-06-06,https://trudvsem.ru/vacancy/card/1027700404797/8a329cb0-42b2-11f0-840e-25abf1fceba2,Работа России,2026-05-26 12:12:42
0f6e12c8-4f86-11f1-a502-f17e9abd8b94,Администратор отделения радионуклидной диагностики,администратор,администратор,"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА"" МИНЗДРАВА РОССИИ",Город Москва,80000,80000,80000.0,RUR,,,,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","Встреча пациентов. - Информирование пациентов об услугах оказываемых отделении. - Координирование записи пациентов на прием. - Оформление первичной документации. - Взаимодействие с врачами отделения, средним и младшим медицинским персоналом. - Работа с медицинской программой. - Входящие и исходящие звонки, переписка с пациентами; выполнение поручений руководства.",2026-05-14,2026-05-14,https://trudvsem.ru/vacancy/card/925fcbb0-78a5-11ea-8c98-736ab11edb0c/0f6e12c8-4f86-11f1-a502-f17e9abd8b94,Работа России,2026-05-26 12:12:42
888da4f4-5061-11f1-9a05-331efe45cc7e,Администратор в клинику,администратор,администратор,JOBCART.RU,Город Москва,85000,95000,90000.0,RUR,,,,Полный рабочий день,"{'education': 'Не указано', 'qualification': 'Вакансия компании ООО ""СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА БЮРО 32"" Стоматологическая клиника в центре Москвы. С прекрасным коллективом. Условия: - Официальное трудоустройство по ТК РФ; - График работы: гибкий; - Заработная плата: оклад + бонусы; - Возможности профессионального и карьерного роста; - Комфортные условия работы, профессиональный коллектив. Если Вы готовы присоединиться к нам, оставьте свое резюме и мы свяжемся с Вами для собеседования. Мы ждем активных и целеустремленных кандидатов, желающих развиваться вместе с нами и становиться частью дружной команды!', 'experience': 0}","- Прием и обработка телефонных звонков, координирование работы клиники; - Регистрация и прием пациентов, оформление документации; - Контроль графика приема врачей, организация работы ресепшн.",2026-05-15,2026-05-15,https://trudvsem.ru/vacancy/card/1027700404797/888da4f4-5061-11f1-9a05-331efe45cc7e,Работа России,2026-05-26 12:12:42
f23ee814-4228-11f1-96dc-47f3cf110ece,Системный администратор,администратор,администратор,JOBCART.RU,Город Москва,110000,110000,110000.0,RUR,,,,Полный рабочий день,"{'education': 'Не указано', 'qualification': 'Вакансия компании ООО ""АФФОРТО"" Наша компания берет свое начало в 2012 году. Тогда было запущено основное направление нашей текущей деятельности - абонентское обслуживание компьютеров в организациях или по другому IT Аутсорсинг. В IT аутсорсинговую компанию Afforto требуется системный администратор в группу выездной технической поддержки. Условия: - График работы 5/2 с 9 до 18. - Офис находится в 10 минутах пешком от метро Сходненская. - Заработная плата от 110000 рублей. - Более подробно обсуждается на собеседовании.', 'experience': 1}","В обязанности будет входить: 1. Обслуживание и настройка серверов и рабочих станций: - Настройка пользовательских операционных систем (Windows, MAcOS), сервисов и приложений. - Управление процессами и службами, настройка автоматизации задач. - Мониторинг состояния серверов и рабочих станций, диагностика производительности системы. 2. Техническая поддержка пользователей: - Оказание консультационной и технической поддержки пользователям, решение инцидентов и проблем (как по телефону, так и через чат, почту или систему тикетов). - Диагностика и удаленное устранение проблем с оборудованием, программным обеспечением и пользовательскими настройками. - Обучение пользователей работе с различными сервисами и приложениями. - Контроль исполнения заявок выездных инженеров. 3. Решение проблем с инфраструктурой и приложениями: - Идентификация, диагностика и решение проблем на уровне ОС. - Взаимодействие с разработчиками и сторонними поставщиками ПО для решения инцидентов, требующих вмешательства. 4. Документирование процессов и решений: - Подготовка и обновление документации по настройке серверов, систем, а также по процедурам восстановления после сбоев. - Ведение журналов инцидентов, отслеживание и анализ производительности инфраструктуры. - Разработка и поддержка внутренней документации по настройке и эксплуатации IT-инфраструктуры.",2026-04-27,2026-04-27,https://trudvsem.ru/vacancy/card/1027700404797/f23ee814-4228-11f1-96dc-47f3cf110ece,Работа России,2026-05-26 12:12:42
4fbbc335-4f96-11f1-8401-9df212a1d3eb,Администратор отделения радионуклидной диагностики 2,администратор,администратор,"""НМИЦ онкологии им. Н. Н. Блохина"" Минздрава России",Город Москва,80000,80000,80000.0,RUR,,,,Полный рабочий день,"{'education': 'Не указано', 'qualification': 'Условия: Официальное оформление, согласно ТК РФ. - Сменный график работы. - Отпуск основной 28 дней. - Ближайшая станция метро Каширская, Каширская (БКЛ).', 'experience': 1}","Встреча пациентов. - Информирование пациентов об услугах оказываемых отделении. - Координирование записи пациентов на прием. - Оформление первичной документации. - Взаимодействие с врачами отделения, средним и младшим медицинским персоналом. - Работа с медицинской программой. - Входящие и исходящие звонки, переписка с пациентами; выполнение поручений руководства.",2026-05-14,2026-05-14,https://trudvsem.ru/vacancy/card/1027700404797/4fbbc335-4f96-11f1-8401-9df212a1d3eb,Работа России,2026-05-26 12:12:42
6039e828-36df-11f0-a66d-d549be31d974,Администратор магазина,администратор,администратор,"ООО ""ПЕТ РИТЕЙЛ""",Город Москва,40000,60000,50000.0,RUR,,,Полная занятость,Сменная работа,"{'education': 'Среднее профессиональное образование', 'experience': 1}","В обязанности входит: - Организация работы магазина, помощь управляющему, постановка задач сотрудникам и контроль их исполнения; - Открытие/закрытие смены, контроль кассовых операций, ведение кассовой документации, инкассация; - Урегулирование вопросов по возврату либо обмену товаров (при необходимости); - Выполнение плановых показателей; - Обеспечение качественного обслуживания покупателей; - Выкладка товара и поддержание порядка в торговом зале.",2025-05-22,2025-05-22,https://trudvsem.ru/vacancy/card/1107746270653/6039e828-36df-11f0-a66d-d549be31d974,Работа России,2026-05-26 12:12:42
