name,address,metro,price,area,price_per_sqm,district
Сдается производственно промышленное помещение,"Батюнинский пр-д , 12С1",Печатники,1500000.0,3000.0,500.0,ЮВАО
Сдается торговая площадь,"Дербеневская ул. , 24",Павелецкая,324000.0,216.0,1500.0,ЦАО
Сдается помещение свободного назначения,"Дербеневская ул. , 24",Павелецкая,1062500.0,850.0,1250.0,ЦАО
Сдается гаражный комплекс,"Маршала Прошлякова ул. , 14к2",Строгино,550704.0,2384.0,231.0,СЗАО
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,654241.0,43.80002677913905,14937.0,Другое
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,1343959.0,43.79999348194499,30684.0,Другое
Сдается помещение свободного назначения,"Рублевское ш. , 22К1",Молодежная,4788000.0,150.0,31920.0,Другое
Сдается помещение свободного назначения,"Мячковский бул. , 20к2",Марьино,2758800.0,200.0,13794.0,ЮВАО
Сдается офис,"Лесная ул. , 43",Белорусская,12025000.0,185.0,65000.0,ЦАО
Сдается торговая площадь,"Дмитрия Ульянова ул. , 10/1К1",Академическая,4197891.0,69.0,60839.0,ЮЗАО
Сдается офис,"Холодильный пер. , 3",Тульская,10991918.0,217.0,50654.0,ЮАО
Сдается помещение свободного назначения,"Павелецкая пл. , 1",Павелецкая,8208000.0,171.0,48000.0,ЦАО
Сдается помещение свободного назначения,"Волоколамское ш. , 71/22к3",Тушинская,4799737.0,149.0,32213.0,СЗАО
Сдается помещение свободного назначения,"Павелецкая пл. , 1",Павелецкая,4199984.0,113.0,37168.0,ЦАО
Сдается помещение свободного назначения,"Петра Алексеева ул. , 10",Давыдково,4199971.0,136.70000650956908,30724.0,Другое
Сдается офис,"Холодильный пер. , 3",Тульская,12599898.0,249.0,50602.0,ЮАО
Сдается офис,"Лесная ул. , 43",Белорусская,15093000.0,250.0,60372.0,ЦАО
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,353736.0,34.0,10404.0,Другое
Сдается помещение свободного назначения,"Перовская ул. , 66К2",Перово,2998773.0,137.89998160581257,21746.0,ВАО
Сдается помещение свободного назначения,"Кутузовский просп. , 2/1к1Б",Киевская,7188000.0,125.0,57504.0,ЦАО
