club,rating,text,url,categories
Детская бухта,1.0,"Не рекомендую! Очень хамское отношение к новым клиентам. Места достаются по остаточному принципу. Цены просто высоченные! Хотя сам бассейн еле еле тянет на троечку. Посетили пару занятий, нам этого хватило. Больше сюда ни ногой!",https://zoon.ru/msk/entertainment/plavatelnyj_klub_detskaya_buhta_na_metro_schyolkovskaya/reviews/,"Цены, Персонал, Ожидание/запись"
Детская бухта,1.0,"Бассейн, один из многих, каких сейчас по Москве огромное количество. Точнее, это даже не бассейн, а ванна. Огромное неудобство в том, что постоянная круговерть инструкторов и невозможно посещать с регулярностью, так как часто нужное время занято, зато свободно то, когда ребёнок спит. Вообщем, абсолютно неудобная и непродуманная система посещений.",https://zoon.ru/msk/entertainment/plavatelnyj_klub_detskaya_buhta_na_metro_schyolkovskaya/reviews/,Ожидание/запись
Планета Боулинг,1.0,"Боулинг заказать не возможно! На звонки не отвечают!!! Не спрашивают про др и не говорят скидках!!!
Кухня не плохая (пицца)",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Сервис/кухня
Планета Боулинг,1.0,Не возможно дозвонится чтобы забронировать на протяжении 2х дней. Это такая клиентоориентированость?,https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Другое
Планета Боулинг,1.0,Я пол часа звоню и скидываете,https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Другое
Планета Боулинг,1.0,"Уточняйте по телефону, который никогда не берут!!! Я бы уволил такого администратора!",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Персонал
Планета Боулинг,1.0,"Невозможно забронировать дорожку, сбрасывают телефонные звонки!!!!",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Другое
Планета Боулинг,1.0,"Скидку на день рождение не предоставили, шары квадратные, дорожки кривые.",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Столы и инвентарь
Планета Боулинг,1.0,"Ужасный боулинг! Старый и грязный. Обувь одевать противно. Действительно, дешево поиграть. Но буфет мерзейший! Пицца такая дрянь, что сложно описать словами. Предлагают непонятные чаи, воняет жареной тухлятиной. Дорожки убитые, ломаются каждые пять минут. И дорожек не девять, а восемь. Короче, никому не советую!",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Другое
Планета Боулинг,1.0,"Ужасная, ужасная пицца! Вы где такую вообще берете? Дорожки сломаны, оборудование убогое.",https://zoon.ru/msk/entertainment/klub_planeta_bouling_v_izmajlovo/reviews/,Столы и инвентарь
Золотой Шар,1.0,"Звонила целый час,не дозвонилась они скидывают и не отвечают. Так и не получилось забронировать дорожку. Безответственность и халатности.",https://zoon.ru/msk/entertainment/bouling-klub_i_bilyardnyj_klub_zolotoj_shar_v_krasnogorske/reviews/,Другое
Трушка,1.0,"Полный бред, а не компьютерный клуб!
Заранее позвонили и попросили поставить на скачивание игры, на что нам ответили хорошо. Когда мы пришли админ понятия якобы не имел, посмеялся и сказал скачивать самим, по итогу игру скачивать некуда, так как места на диске нет. Деньги не возвращаю… полный бред. Максимально постараюсь распространить информацию об отвратности этого клуба!",https://zoon.ru/msk/entertainment/kompyuternyj_klub_trushka_na_veshnyakovskoj_ulitse/reviews/,"Цены, Ожидание/запись"
Трушка,1.0,"Добрый день, Артем.
Большое спасибо за отзыв, ваш комментарий очень важен для нас. Мы очень сожалеем, что вам не удалось попасть в наш клуб. Но по правилам несовершеннолетние геймеры должны приходить в клуб с сопровождении взрослых. Надеемся на Ваше понимание и на новую встречу!
С уважением, Компьютерный клуб True Gamers на Вешняковской улице.",https://zoon.ru/msk/entertainment/kompyuternyj_klub_trushka_na_veshnyakovskoj_ulitse/reviews/,Другое
Трушка,2.0,"Всё вроде не плохо, Но наушники за компьютерами видно что со временем уже изношены + микрофоны на них дешманские, мышки убитые в плане иногда даже заедаетпри нажатии.. (приходил лишь пару раз в клуб)
Но, а второй такой огромный минус это то что к примеру нет игры в которую играю World of Tanks (евро сервер) приходится устанавливать и тратить своё время если один комп занят на который установил игру сам… (дело не в деньгах, ребята администратор молодцы возвращали бонусами, а дело в том что при
… – показать",https://zoon.ru/msk/entertainment/kompyuternyj_klub_trushka_na_veshnyakovskoj_ulitse/reviews/,"Персонал, Сервис/кухня"
Трушка,1.0,Пускают несовершенно летних даже после 23—00… Ребёнок зависим сбегает пока на работе ночью по играть (дома запрещаем) там они пускают даже среди ночи!!! НАРУШАЯ ЗАКОН!,https://zoon.ru/msk/entertainment/kompyuternyj_klub_trushka_na_veshnyakovskoj_ulitse/reviews/,Другое
