name,address,category,rating,reviews_count,review_url,district
Танжирс Лаунж,"11 мин. • Курская улица Покровка, 31с4, Москва",рестораны,4.9,61,https://zoon.ru/msk/restaurants/launzh-restoran_tanzhirs_launzh_na_ulitse_pokrovka/reviews/,Другое
Вкус огня,"5 мин. • Павелецкая Большая Пионерская улица, 7 ст1, вход со двора, Москва",рестораны,4.9,132,https://zoon.ru/msk/restaurants/restoran_vkus_ognya_na_metro_paveletskaya/reviews/,Другое
Джавахк,"37 мин. • Лухмановская Инициативная улица, 7Б, 2 этаж, Люберцы",рестораны,4.9,697,https://zoon.ru/msk/restaurants/hinkalnaya_dzhavahk_na_initsiativnoj_ulitse_v_lyubertsah/reviews/,Другое
Pub13,"3 мин. • Бауманская Волховский переулок, 2, 1 этаж, Москва",рестораны,4.9,55,https://zoon.ru/msk/restaurants/pub13_na_metro_baumanskaya/reviews/,Другое
Кристалл,"Силикатная улица, 51Б, Мытищи",рестораны,4.7,38,https://zoon.ru/msk/restaurants/restoran_kristall_v_mytischah/reviews/,Другое
Maurizio,"4 мин. • Сухаревская улица Сретенка, 26/1, Москва",рестораны,4.9,914,https://zoon.ru/msk/restaurants/restoran_maurizio_na_ulitse_sretenka/reviews/,Другое
Руки ВВерх!,"11 мин. • Крестьянская застава Нижегородская улица, 2к1, Москва",рестораны,4.8,15,https://zoon.ru/msk/restaurants/bar_ruki_vverh_na_taganke/reviews/,Другое
Зелёная Роща,"Мытищинский район, Мытищинская улица, 1Д, деревня Ульянково",рестораны,4.5,17,https://zoon.ru/msk/restaurants/restoran_zelyonaya_roscha_v_derevne_ulyankovo/reviews/,Другое
Пиросмани,"13 мин. • Яхромская Дубнинская улица, 32, 1; 2 этаж, Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_pirosmani_na_dubninskoj_ulitse/reviews/,Другое
Amara Platinum,"4 мин. • Дубровка (Московское центральное кольцо) 1-я улица Машиностроения, 10, Вход с торца здания за углом у фитнеса, 2 этаж., Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_amara_platinum/reviews/,Другое
Миндаль,"проспект Красной Армии, 212А, цокольный этаж, Сергиев Посад",рестораны,4.7,51,https://zoon.ru/msk/restaurants/restoran_mindal_v_sergievom_posade/reviews/,Другое
Волшебная арфа,"8 мин. • Курская Лялин переулок, 3 ст3, цокольный этаж, Москва",рестораны,5.0,10,https://zoon.ru/msk/restaurants/restoran_volshebnaya_arfa/reviews/,Другое
Keto&Kote,"4 мин. • Новослободская Селезнёвская улица, 13с1, Москва",рестораны,4.8,26,https://zoon.ru/msk/restaurants/restoran_ketokote/reviews/,Другое
Гранд,"15 мин. • Люблино Тихорецкий бульвар, 1с19, Москва",рестораны,5.0,7,https://zoon.ru/msk/restaurants/banketnyj_zal_grand_v_lyublino/reviews/,ЮВАО
Вавилон,"5 мин. • Технопарк Проектируемый проезд № 4062, 6с1, Москва",рестораны,4.9,26,https://zoon.ru/msk/restaurants/restoran_vavilon_na_metro_tehnopark/reviews/,Другое
Березовая роща,"19 мин. • Полежаевская улица Куусинена, 8а, Москва",рестораны,4.7,92,https://zoon.ru/msk/restaurants/kafe_berezovaya_roscha_na_ulitse_kuusinena/reviews/,Другое
Русские традиции,"9 мин. • Новокосино Носовихинское шоссе, 18В, 1-3 этаж, Реутов",рестораны,4.7,84,https://zoon.ru/msk/restaurants/restoran_russkie_traditsii_v_reutove/reviews/,ВАО
Эчпочмак,"14 мин. • Сокольники улица Стромынка, 16, цокольный этаж, Москва",рестораны,4.9,31,https://zoon.ru/msk/restaurants/kafe_tatarskoj_kuhni_echpochmak/reviews/,САО
Varvarka 3,"6 мин. • Китай-город улица Ильинка, 4, в здании Гостиного двора, рядом с подъездом 15, Москва",рестораны,4.9,162,https://zoon.ru/msk/restaurants/restoran_sigarnyj_klub_varvarka_3_na_ulitse_ilinka/reviews/,ЦАО
Территория,"39 мин. • Орехово Липецкая улица, 22, 2 этаж, Москва",рестораны,4.3,120,https://zoon.ru/msk/restaurants/bar-restoran_territoriya_na_lipetskoj_ulitse/reviews/,Другое
Добрые Соседи,"41 мин. • Давыдково Можайское шоссе, 45Б, Москва",рестораны,4.9,5,https://zoon.ru/msk/restaurants/restoran_chestnyh_tsen_dobrye_sosedi/reviews/,Другое
Яръ,"13 мин. • Динамо Ленинградский проспект, 32/2, 1 этаж; комплекс Советский, Москва",рестораны,4.9,556,https://zoon.ru/msk/restaurants/restoran_yar_na_leningradskom_prospekte/reviews/,Другое
Доктор на крыше,"5 мин. • Маяковская 2-й Тверской-Ямской переулок, 10, 12 этаж, Москва",рестораны,4.5,42,https://zoon.ru/msk/restaurants/restoran_doktor_na_kryshe_na_metro_mayakovskaya/reviews/,ЦАО
Пандури,"Северное шоссе, 22, Раменское",рестораны,4.8,29,https://zoon.ru/msk/restaurants/restoran_panduri/reviews/,Другое
Хинкальная в Реутове,"18 мин. • Новокосино улица Ленина, 6, 1 этаж, Реутов",рестораны,4.7,33,https://zoon.ru/msk/restaurants/hinkalnaya_v_reutove/reviews/,ВАО
Арарат,"6 мин. • Смоленская улица Арбат, 32, 1 этаж, Москва",рестораны,4.9,15,https://zoon.ru/msk/restaurants/restoran_ararat_na_arbate/reviews/,ЦАО
Dolce casa,"29 мин. • Мякинино Авангардная улица, 3, 2 этаж, Красногорск",рестораны,4.9,161,https://zoon.ru/msk/restaurants/restoran_dolce_casa/reviews/,Другое
Studio 46,"6 мин. • Менделеевская Новослободская улица, 46, Москва",рестораны,4.5,39,https://zoon.ru/msk/restaurants/karaoke-klub_studio_46_na_novoslobodskoj_ulitse_46/reviews/,Другое
Пиво Еда Люди,"7 мин. • Сокольники Егерская улица, 1, 1 этаж, Москва",рестораны,4.9,23,https://zoon.ru/msk/restaurants/pivo_eda_lyudi_na_egerskoj_ulitse/reviews/,САО
Поминальная трапеза,"39 мин. • Орехово Липецкая улица, 22, Москва",рестораны,4.9,9,https://zoon.ru/msk/restaurants/kafe_pominalnaya_trapeza_na_lipetskoj_ulitse/reviews/,Другое
Танжирс Лаунж,"11 мин. • Курская улица Покровка, 31с4, Москва",рестораны,4.9,61,https://zoon.ru/msk/restaurants/launzh-restoran_tanzhirs_launzh_na_ulitse_pokrovka/reviews/,Другое
Вкус огня,"5 мин. • Павелецкая Большая Пионерская улица, 7 ст1, вход со двора, Москва",рестораны,4.9,132,https://zoon.ru/msk/restaurants/restoran_vkus_ognya_na_metro_paveletskaya/reviews/,Другое
Джавахк,"37 мин. • Лухмановская Инициативная улица, 7Б, 2 этаж, Люберцы",рестораны,4.9,697,https://zoon.ru/msk/restaurants/hinkalnaya_dzhavahk_na_initsiativnoj_ulitse_v_lyubertsah/reviews/,Другое
Pub13,"3 мин. • Бауманская Волховский переулок, 2, 1 этаж, Москва",рестораны,4.9,55,https://zoon.ru/msk/restaurants/pub13_na_metro_baumanskaya/reviews/,Другое
Кристалл,"Силикатная улица, 51Б, Мытищи",рестораны,4.7,38,https://zoon.ru/msk/restaurants/restoran_kristall_v_mytischah/reviews/,Другое
Maurizio,"4 мин. • Сухаревская улица Сретенка, 26/1, Москва",рестораны,4.9,914,https://zoon.ru/msk/restaurants/restoran_maurizio_na_ulitse_sretenka/reviews/,Другое
Руки ВВерх!,"11 мин. • Крестьянская застава Нижегородская улица, 2к1, Москва",рестораны,4.8,15,https://zoon.ru/msk/restaurants/bar_ruki_vverh_na_taganke/reviews/,Другое
Зелёная Роща,"Мытищинский район, Мытищинская улица, 1Д, деревня Ульянково",рестораны,4.5,17,https://zoon.ru/msk/restaurants/restoran_zelyonaya_roscha_v_derevne_ulyankovo/reviews/,Другое
Пиросмани,"13 мин. • Яхромская Дубнинская улица, 32, 1; 2 этаж, Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_pirosmani_na_dubninskoj_ulitse/reviews/,Другое
Amara Platinum,"4 мин. • Дубровка (Московское центральное кольцо) 1-я улица Машиностроения, 10, Вход с торца здания за углом у фитнеса, 2 этаж., Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_amara_platinum/reviews/,Другое
Миндаль,"проспект Красной Армии, 212А, цокольный этаж, Сергиев Посад",рестораны,4.7,51,https://zoon.ru/msk/restaurants/restoran_mindal_v_sergievom_posade/reviews/,Другое
Волшебная арфа,"8 мин. • Курская Лялин переулок, 3 ст3, цокольный этаж, Москва",рестораны,5.0,10,https://zoon.ru/msk/restaurants/restoran_volshebnaya_arfa/reviews/,Другое
Keto&Kote,"4 мин. • Новослободская Селезнёвская улица, 13с1, Москва",рестораны,4.8,26,https://zoon.ru/msk/restaurants/restoran_ketokote/reviews/,Другое
Гранд,"15 мин. • Люблино Тихорецкий бульвар, 1с19, Москва",рестораны,5.0,7,https://zoon.ru/msk/restaurants/banketnyj_zal_grand_v_lyublino/reviews/,ЮВАО
Вавилон,"5 мин. • Технопарк Проектируемый проезд № 4062, 6с1, Москва",рестораны,4.9,26,https://zoon.ru/msk/restaurants/restoran_vavilon_na_metro_tehnopark/reviews/,Другое
Березовая роща,"19 мин. • Полежаевская улица Куусинена, 8а, Москва",рестораны,4.7,92,https://zoon.ru/msk/restaurants/kafe_berezovaya_roscha_na_ulitse_kuusinena/reviews/,Другое
Русские традиции,"9 мин. • Новокосино Носовихинское шоссе, 18В, 1-3 этаж, Реутов",рестораны,4.7,84,https://zoon.ru/msk/restaurants/restoran_russkie_traditsii_v_reutove/reviews/,ВАО
Эчпочмак,"14 мин. • Сокольники улица Стромынка, 16, цокольный этаж, Москва",рестораны,4.9,31,https://zoon.ru/msk/restaurants/kafe_tatarskoj_kuhni_echpochmak/reviews/,САО
Varvarka 3,"6 мин. • Китай-город улица Ильинка, 4, в здании Гостиного двора, рядом с подъездом 15, Москва",рестораны,4.9,162,https://zoon.ru/msk/restaurants/restoran_sigarnyj_klub_varvarka_3_na_ulitse_ilinka/reviews/,ЦАО
Территория,"39 мин. • Орехово Липецкая улица, 22, 2 этаж, Москва",рестораны,4.3,120,https://zoon.ru/msk/restaurants/bar-restoran_territoriya_na_lipetskoj_ulitse/reviews/,Другое
Добрые Соседи,"41 мин. • Давыдково Можайское шоссе, 45Б, Москва",рестораны,4.9,5,https://zoon.ru/msk/restaurants/restoran_chestnyh_tsen_dobrye_sosedi/reviews/,Другое
Яръ,"13 мин. • Динамо Ленинградский проспект, 32/2, 1 этаж; комплекс Советский, Москва",рестораны,4.9,556,https://zoon.ru/msk/restaurants/restoran_yar_na_leningradskom_prospekte/reviews/,Другое
Доктор на крыше,"5 мин. • Маяковская 2-й Тверской-Ямской переулок, 10, 12 этаж, Москва",рестораны,4.5,42,https://zoon.ru/msk/restaurants/restoran_doktor_na_kryshe_na_metro_mayakovskaya/reviews/,ЦАО
Пандури,"Северное шоссе, 22, Раменское",рестораны,4.8,29,https://zoon.ru/msk/restaurants/restoran_panduri/reviews/,Другое
Хинкальная в Реутове,"18 мин. • Новокосино улица Ленина, 6, 1 этаж, Реутов",рестораны,4.7,33,https://zoon.ru/msk/restaurants/hinkalnaya_v_reutove/reviews/,ВАО
Арарат,"6 мин. • Смоленская улица Арбат, 32, 1 этаж, Москва",рестораны,4.9,15,https://zoon.ru/msk/restaurants/restoran_ararat_na_arbate/reviews/,ЦАО
Dolce casa,"29 мин. • Мякинино Авангардная улица, 3, 2 этаж, Красногорск",рестораны,4.9,161,https://zoon.ru/msk/restaurants/restoran_dolce_casa/reviews/,Другое
Studio 46,"6 мин. • Менделеевская Новослободская улица, 46, Москва",рестораны,4.5,39,https://zoon.ru/msk/restaurants/karaoke-klub_studio_46_na_novoslobodskoj_ulitse_46/reviews/,Другое
Пиво Еда Люди,"7 мин. • Сокольники Егерская улица, 1, 1 этаж, Москва",рестораны,4.9,23,https://zoon.ru/msk/restaurants/pivo_eda_lyudi_na_egerskoj_ulitse/reviews/,САО
Поминальная трапеза,"39 мин. • Орехово Липецкая улица, 22, Москва",рестораны,4.9,9,https://zoon.ru/msk/restaurants/kafe_pominalnaya_trapeza_na_lipetskoj_ulitse/reviews/,Другое
Танжирс Лаунж,"11 мин. • Курская улица Покровка, 31с4, Москва",рестораны,4.9,61,https://zoon.ru/msk/restaurants/launzh-restoran_tanzhirs_launzh_na_ulitse_pokrovka/reviews/,Другое
Вкус огня,"5 мин. • Павелецкая Большая Пионерская улица, 7 ст1, вход со двора, Москва",рестораны,4.9,132,https://zoon.ru/msk/restaurants/restoran_vkus_ognya_na_metro_paveletskaya/reviews/,Другое
Джавахк,"37 мин. • Лухмановская Инициативная улица, 7Б, 2 этаж, Люберцы",рестораны,4.9,697,https://zoon.ru/msk/restaurants/hinkalnaya_dzhavahk_na_initsiativnoj_ulitse_v_lyubertsah/reviews/,Другое
Pub13,"3 мин. • Бауманская Волховский переулок, 2, 1 этаж, Москва",рестораны,4.9,55,https://zoon.ru/msk/restaurants/pub13_na_metro_baumanskaya/reviews/,Другое
Кристалл,"Силикатная улица, 51Б, Мытищи",рестораны,4.7,38,https://zoon.ru/msk/restaurants/restoran_kristall_v_mytischah/reviews/,Другое
Maurizio,"4 мин. • Сухаревская улица Сретенка, 26/1, Москва",рестораны,4.9,914,https://zoon.ru/msk/restaurants/restoran_maurizio_na_ulitse_sretenka/reviews/,Другое
Руки ВВерх!,"11 мин. • Крестьянская застава Нижегородская улица, 2к1, Москва",рестораны,4.8,15,https://zoon.ru/msk/restaurants/bar_ruki_vverh_na_taganke/reviews/,Другое
Зелёная Роща,"Мытищинский район, Мытищинская улица, 1Д, деревня Ульянково",рестораны,4.5,17,https://zoon.ru/msk/restaurants/restoran_zelyonaya_roscha_v_derevne_ulyankovo/reviews/,Другое
Пиросмани,"13 мин. • Яхромская Дубнинская улица, 32, 1; 2 этаж, Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_pirosmani_na_dubninskoj_ulitse/reviews/,Другое
Amara Platinum,"4 мин. • Дубровка (Московское центральное кольцо) 1-я улица Машиностроения, 10, Вход с торца здания за углом у фитнеса, 2 этаж., Москва",рестораны,4.9,24,https://zoon.ru/msk/restaurants/restoran_amara_platinum/reviews/,Другое
Миндаль,"проспект Красной Армии, 212А, цокольный этаж, Сергиев Посад",рестораны,4.7,51,https://zoon.ru/msk/restaurants/restoran_mindal_v_sergievom_posade/reviews/,Другое
Волшебная арфа,"8 мин. • Курская Лялин переулок, 3 ст3, цокольный этаж, Москва",рестораны,5.0,10,https://zoon.ru/msk/restaurants/restoran_volshebnaya_arfa/reviews/,Другое
Keto&Kote,"4 мин. • Новослободская Селезнёвская улица, 13с1, Москва",рестораны,4.8,26,https://zoon.ru/msk/restaurants/restoran_ketokote/reviews/,Другое
Гранд,"15 мин. • Люблино Тихорецкий бульвар, 1с19, Москва",рестораны,5.0,7,https://zoon.ru/msk/restaurants/banketnyj_zal_grand_v_lyublino/reviews/,ЮВАО
Вавилон,"5 мин. • Технопарк Проектируемый проезд № 4062, 6с1, Москва",рестораны,4.9,26,https://zoon.ru/msk/restaurants/restoran_vavilon_na_metro_tehnopark/reviews/,Другое
Березовая роща,"19 мин. • Полежаевская улица Куусинена, 8а, Москва",рестораны,4.7,92,https://zoon.ru/msk/restaurants/kafe_berezovaya_roscha_na_ulitse_kuusinena/reviews/,Другое
Русские традиции,"9 мин. • Новокосино Носовихинское шоссе, 18В, 1-3 этаж, Реутов",рестораны,4.7,84,https://zoon.ru/msk/restaurants/restoran_russkie_traditsii_v_reutove/reviews/,ВАО
Эчпочмак,"14 мин. • Сокольники улица Стромынка, 16, цокольный этаж, Москва",рестораны,4.9,31,https://zoon.ru/msk/restaurants/kafe_tatarskoj_kuhni_echpochmak/reviews/,САО
Varvarka 3,"6 мин. • Китай-город улица Ильинка, 4, в здании Гостиного двора, рядом с подъездом 15, Москва",рестораны,4.9,162,https://zoon.ru/msk/restaurants/restoran_sigarnyj_klub_varvarka_3_na_ulitse_ilinka/reviews/,ЦАО
Территория,"39 мин. • Орехово Липецкая улица, 22, 2 этаж, Москва",рестораны,4.3,120,https://zoon.ru/msk/restaurants/bar-restoran_territoriya_na_lipetskoj_ulitse/reviews/,Другое
Добрые Соседи,"41 мин. • Давыдково Можайское шоссе, 45Б, Москва",рестораны,4.9,5,https://zoon.ru/msk/restaurants/restoran_chestnyh_tsen_dobrye_sosedi/reviews/,Другое
Яръ,"13 мин. • Динамо Ленинградский проспект, 32/2, 1 этаж; комплекс Советский, Москва",рестораны,4.9,556,https://zoon.ru/msk/restaurants/restoran_yar_na_leningradskom_prospekte/reviews/,Другое
Доктор на крыше,"5 мин. • Маяковская 2-й Тверской-Ямской переулок, 10, 12 этаж, Москва",рестораны,4.5,42,https://zoon.ru/msk/restaurants/restoran_doktor_na_kryshe_na_metro_mayakovskaya/reviews/,ЦАО
Пандури,"Северное шоссе, 22, Раменское",рестораны,4.8,29,https://zoon.ru/msk/restaurants/restoran_panduri/reviews/,Другое
Хинкальная в Реутове,"18 мин. • Новокосино улица Ленина, 6, 1 этаж, Реутов",рестораны,4.7,33,https://zoon.ru/msk/restaurants/hinkalnaya_v_reutove/reviews/,ВАО
Арарат,"6 мин. • Смоленская улица Арбат, 32, 1 этаж, Москва",рестораны,4.9,15,https://zoon.ru/msk/restaurants/restoran_ararat_na_arbate/reviews/,ЦАО
Dolce casa,"29 мин. • Мякинино Авангардная улица, 3, 2 этаж, Красногорск",рестораны,4.9,161,https://zoon.ru/msk/restaurants/restoran_dolce_casa/reviews/,Другое
Studio 46,"6 мин. • Менделеевская Новослободская улица, 46, Москва",рестораны,4.5,39,https://zoon.ru/msk/restaurants/karaoke-klub_studio_46_na_novoslobodskoj_ulitse_46/reviews/,Другое
